Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2017","Cryptosporidiosis, Cum 2017, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Dengue Virus Infection, Dengue§, Current week","Dengue Virus Infection, Dengue§, Current week, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Med","Dengue Virus Infection, Dengue§, Previous 52 weeks Med, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Max","Dengue Virus Infection, Dengue§, Previous 52 weeks Max, flag","Dengue Virus Infection, Dengue§, Cum 2017","Dengue Virus Infection, Dengue§, Cum 2017, flag","Dengue Virus Infection, Dengue§, Cum 2016","Dengue Virus Infection, Dengue§, Cum 2016, flag","Dengue Virus Infection, Severe Dengue, Current week","Dengue Virus Infection, Severe Dengue, Current week, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max, flag","Dengue Virus Infection, Severe Dengue, Cum 2017","Dengue Virus Infection, Severe Dengue, Cum 2017, flag","Dengue Virus Infection, Severe Dengue, Cum 2016","Dengue Virus Infection, Severe Dengue, Cum 2016, flag",Location 1,Location 2
MID. ATLANTIC,2017,41,15,,18,,37,,712,,993,,,-,1,,4,,26,,194,,,-,0,,1,,1,,4,,,
S. ATLANTIC,2017,41,8,,25,,65,,1095,,1498,,,-,1,,4,,30,,160,,,-,0,,0,,,-,1,,,
GUAM,2017,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARIZONA,2017,41,,-,3,,18,,86,,471,,,-,0,,1,,2,,13,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
IDAHO,2017,41,,-,2,,6,,70,,96,,,-,0,,0,,,-,4,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
CALIFORNIA,2017,41,5,,9,,29,,484,,333,,,-,1,,7,,41,,173,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEW ENGLAND,2017,41,1,,7,,19,,319,,389,,,-,0,,1,,2,,25,,,-,0,,0,,,-,,-,,
SOUTH CAROLINA,2017,41,,-,2,,9,,75,,92,,,-,0,,0,,,-,12,,,-,0,,0,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
TEXAS,2017,41,18,,14,,62,,777,,534,,1,,0,,2,,14,,33,,,-,0,,0,,,-,2,,"TEXAS
(31.827233, -99.423022)",
NEW YORK,2017,41,2,,5,,14,,218,,275,,,-,0,,3,,4,,37,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
PENNSYLVANIA,2017,41,4,,7,,17,,290,,397,,,-,0,,1,,3,,20,,,-,0,,1,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
VERMONT,2017,41,1,,1,,4,,37,,59,,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
COLORADO,2017,41,4,,3,,13,,151,,173,,,-,0,,1,,3,,17,,,-,0,,1,,1,,,-,"COLORADO
(38.841772, -106.132562)",
MISSOURI,2017,41,6,,5,,20,,234,,348,,,-,0,,1,,1,,11,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
AMER. SAMOA,2017,41,,N,0,,0,,,N,,N,,-,2,,25,,159,,,-,,-,0,,0,,,-,,-,,
OHIO,2017,41,22,,11,,83,,514,,1615,,,-,0,,2,,3,,7,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
VIRGINIA,2017,41,3,,3,,10,,143,,210,,,-,0,,2,,8,,27,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MONTANA,2017,41,,-,1,,6,,54,,56,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW HAMPSHIRE,2017,41,,-,1,,8,,43,,47,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW JERSEY,2017,41,,-,2,,6,,57,,174,,,-,0,,1,,5,,48,,,-,0,,0,,,-,4,,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH DAKOTA,2017,41,,-,2,,12,,136,,143,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
KENTUCKY,2017,41,1,,1,,6,,58,,120,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
E.S. CENTRAL,2017,41,3,,8,,29,,350,,558,,,-,0,,2,,5,,13,,,-,0,,0,,,-,,-,,
WYOMING,2017,41,,-,0,,3,,11,,16,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
KANSAS,2017,41,,-,1,,7,,76,,116,,,-,0,,1,,2,,4,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MISSISSIPPI,2017,41,1,,1,,5,,49,,36,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
LOUISIANA,2017,41,,-,1,,6,,27,,97,,,-,0,,1,,1,,6,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
DIST. OF COL.,2017,41,,-,0,,4,,15,,15,,,-,0,,1,,6,,14,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ALABAMA,2017,41,,-,4,,13,,132,,265,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MAINE,2017,41,,-,1,,4,,35,,48,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
TENNESSEE,2017,41,1,,2,,12,,111,,137,,,-,0,,2,,3,,7,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEBRASKA,2017,41,,-,2,,11,,119,,219,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MINNESOTA,2017,41,,-,0,,11,,,-,410,,,-,0,,2,,,-,24,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NORTH CAROLINA,2017,41,,-,2,,7,,74,,263,,,-,0,,1,,,-,12,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
ALASKA,2017,41,,-,0,,3,,15,,7,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
W.N. CENTRAL,2017,41,6,,22,,67,,1018,,1955,,,-,0,,2,,5,,57,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,41,9,,3,,12,,147,,147,,,-,0,,2,,14,,89,,,-,0,,0,,,-,,-,,
VIRGIN ISL.,2017,41,,-,0,,0,,,-,,-,,-,0,,1,,1,,9,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEVADA,2017,41,,-,0,,2,,29,,14,,,-,0,,1,,,-,5,,,-,0,,0,,,-,1,,"NEVADA
(39.491833, -117.070159)",
DELAWARE,2017,41,,-,0,,2,,15,,19,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW HAMPSHIRE,2017,42,,-,1,,8,,46,,47,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TEXAS,2017,42,18,,14,,63,,806,,548,,,-,0,,2,,14,,34,,1,,0,,0,,1,,2,,"TEXAS
(31.827233, -99.423022)",
IDAHO,2017,42,2,,2,,6,,73,,98,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
COLORADO,2017,42,1,,3,,13,,152,,174,,,-,0,,1,,3,,18,,,-,0,,1,,1,,,-,"COLORADO
(38.841772, -106.132562)",
LOUISIANA,2017,42,,-,0,,6,,27,,103,,,-,0,,1,,1,,6,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WASHINGTON,2017,42,,-,0,,131,,45,,,-,,-,0,,3,,12,,19,,,-,0,,0,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
CONNECTICUT,2017,42,,-,1,,5,,62,,54,,,-,0,,0,,,-,8,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
UTAH,2017,42,,-,2,,7,,95,,158,,,-,0,,2,,4,,4,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
RHODE ISLAND,2017,42,2,,0,,2,,24,,14,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OREGON,2017,42,1,,5,,26,,196,,250,,,-,0,,1,,4,,14,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
PUERTO RICO,2017,42,,-,0,,0,,,-,1,,,-,0,,3,,9,,192,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ALASKA,2017,42,,-,0,,3,,15,,8,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MONTANA,2017,42,3,,1,,6,,57,,57,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
AMER. SAMOA,2017,42,,N,0,,0,,,N,,N,,-,2,,25,,159,,,-,,-,0,,0,,,-,,-,,
NORTH CAROLINA,2017,42,,-,2,,7,,79,,267,,,-,0,,1,,,-,12,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2017,42,17,,11,,83,,531,,1654,,,-,0,,2,,3,,7,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MISSOURI,2017,42,,-,5,,20,,234,,357,,,-,0,,1,,1,,11,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2017,42,,-,0,,2,,16,,21,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
KANSAS,2017,42,,-,2,,8,,82,,120,,,-,0,,1,,2,,4,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
TENNESSEE,2017,42,,-,2,,12,,112,,141,,,-,0,,2,,3,,7,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
INDIANA,2017,42,,-,3,,10,,128,,190,,,-,0,,1,,1,,7,,,-,0,,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
OKLAHOMA,2017,42,1,,2,,60,,128,,139,,,-,0,,1,,1,,4,,,-,0,,1,,1,,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEVADA,2017,42,,-,0,,2,,29,,14,,,-,0,,1,,,-,6,,,-,0,,0,,,-,1,,"NEVADA
(39.491833, -117.070159)",
ARKANSAS,2017,42,1,,2,,8,,99,,60,,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
GUAM,2017,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
E.S. CENTRAL,2017,42,2,,8,,29,,357,,568,,,-,0,,2,,5,,13,,,-,0,,0,,,-,,-,,
ILLINOIS,2017,42,,-,5,,19,,245,,289,,,-,0,,2,,12,,36,,,-,0,,1,,3,,,-,"ILLINOIS
(40.477092, -88.993221)",
ALABAMA,2017,42,,-,4,,13,,135,,268,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MINNESOTA,2017,42,,-,0,,8,,,-,418,,,-,0,,2,,,-,24,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW JERSEY,2017,42,,-,1,,5,,58,,177,,,-,0,,1,,6,,48,,,-,0,,0,,,-,4,,"NEW JERSEY
(40.104655, -74.386686)",
PENNSYLVANIA,2017,42,2,,6,,16,,295,,413,,,-,0,,1,,3,,20,,,-,0,,1,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
E.N. CENTRAL,2017,42,27,,36,,104,,1757,,3282,,,-,0,,5,,34,,72,,,-,0,,1,,3,,1,,,
SOUTH DAKOTA,2017,42,,-,2,,12,,136,,147,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
KENTUCKY,2017,42,2,,1,,6,,61,,122,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ARIZONA,2017,42,1,,2,,18,,87,,489,,,-,0,,1,,2,,13,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
WISCONSIN,2017,42,9,,11,,34,,536,,762,,,-,0,,3,,14,,6,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MID. ATLANTIC,2017,42,10,,17,,36,,725,,1026,,,-,1,,3,,29,,195,,,-,0,,1,,1,,4,,,
MID. ATLANTIC,2017,51,5,,17,,43,,904,,1177,,,-,1,,5,,44,,208,,,-,0,,1,,1,,4,,,
NEW MEXICO,2017,42,,-,1,,8,,86,,62,,,-,0,,0,,,-,5,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MOUNTAIN,2017,42,7,,12,,33,,590,,1068,,,-,0,,3,,10,,52,,,-,0,,1,,1,,1,,,
NEW ENGLAND,2017,42,3,,7,,20,,335,,396,,,-,0,,1,,2,,25,,,-,0,,0,,,-,,-,,
PACIFIC,2017,42,4,,16,,143,,757,,614,,,-,1,,7,,67,,271,,,-,0,,0,,,-,1,,,
SOUTH CAROLINA,2017,42,,-,2,,9,,77,,93,,,-,0,,0,,,-,12,,,-,0,,0,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WYOMING,2017,42,,-,0,,3,,11,,16,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW YORK,2017,42,6,,5,,14,,223,,285,,,-,0,,3,,4,,38,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
W.S. CENTRAL,2017,42,20,,18,,92,,1060,,850,,,-,0,,2,,16,,47,,1,,0,,1,,2,,2,,,
VERMONT,2017,42,1,,1,,4,,38,,60,,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MAINE,2017,42,,-,1,,4,,35,,49,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
FLORIDA,2017,42,,-,9,,25,,410,,480,,,-,0,,2,,9,,63,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
W.N. CENTRAL,2017,42,,-,22,,68,,1026,,1996,,,-,0,,2,,5,,57,,,-,0,,0,,,-,,-,,
DIST. OF COL.,2017,42,,-,0,,4,,15,,17,,,-,0,,1,,8,,14,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
UNITED STATES,2017,42,87,,163,,389,,7748,,11344,,,-,5,,16,,201,,901,,1,,0,,1,,7,,10,,,
CALIFORNIA,2017,42,3,,9,,29,,498,,347,,,-,1,,7,,44,,180,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
GEORGIA,2017,42,8,,6,,20,,303,,310,,,-,0,,1,,4,,19,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2017,42,5,,3,,10,,153,,212,,,-,0,,2,,8,,28,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
VIRGIN ISL.,2017,42,,-,0,,0,,,-,,-,,-,0,,1,,1,,9,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
C.N.M.I.,2017,42,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
S. ATLANTIC,2017,42,14,,25,,56,,1141,,1544,,,-,1,,4,,33,,162,,,-,0,,0,,,-,1,,,
MICHIGAN,2017,42,1,,6,,19,,317,,387,,,-,0,,1,,4,,16,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK CITY,2017,42,2,,3,,12,,149,,151,,,-,0,,2,,16,,89,,,-,0,,0,,,-,,-,,
MASSACHUSETTS,2017,42,,-,3,,13,,130,,172,,,-,0,,1,,1,,8,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH DAKOTA,2017,42,,-,0,,4,,35,,32,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
IOWA,2017,42,,-,9,,34,,420,,697,,,-,0,,1,,1,,12,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MARYLAND,2017,42,1,,2,,10,,80,,101,,,-,0,,1,,4,,12,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WEST VIRGINIA,2017,42,,-,0,,2,,8,,43,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
HAWAII,2017,42,,-,0,,1,,3,,9,,,-,0,,1,,6,,54,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEBRASKA,2017,42,,-,2,,11,,119,,225,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MISSISSIPPI,2017,42,,-,1,,5,,49,,37,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
DELAWARE,2017,43,,-,0,,2,,20,,21,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NORTH DAKOTA,2017,43,,-,0,,4,,35,,33,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MONTANA,2017,43,,-,1,,6,,57,,58,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
DIST. OF COL.,2017,43,,-,0,,4,,15,,18,,,-,0,,1,,8,,14,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSOURI,2017,43,13,,5,,20,,255,,366,,,-,0,,1,,1,,12,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
SOUTH CAROLINA,2017,43,,-,2,,9,,81,,98,,,-,0,,0,,,-,12,,,-,0,,0,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2017,43,,-,9,,34,,420,,707,,,-,0,,1,,3,,12,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MISSISSIPPI,2017,43,1,,1,,5,,51,,39,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEBRASKA,2017,43,,-,2,,11,,119,,229,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WASHINGTON,2017,43,,-,0,,131,,45,,,-,,-,0,,3,,12,,19,,,-,0,,0,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
VIRGIN ISL.,2017,43,,-,0,,0,,,-,,-,,-,0,,1,,1,,9,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW ENGLAND,2017,43,4,,7,,20,,346,,405,,,-,0,,1,,2,,25,,,-,0,,0,,,-,,-,,
OREGON,2017,43,5,,5,,26,,211,,268,,,-,0,,1,,4,,14,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
UTAH,2017,43,,-,2,,7,,95,,159,,,-,0,,2,,4,,4,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
FLORIDA,2017,43,,-,8,,25,,410,,494,,,-,0,,2,,10,,64,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
IDAHO,2017,43,3,,2,,6,,77,,99,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW HAMPSHIRE,2017,43,1,,1,,8,,50,,48,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MAINE,2017,43,1,,1,,4,,36,,51,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ILLINOIS,2017,43,1,,5,,22,,272,,294,,,-,0,,2,,12,,36,,,-,0,,1,,3,,,-,"ILLINOIS
(40.477092, -88.993221)",
ALASKA,2017,43,,-,0,,3,,17,,8,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
E.N. CENTRAL,2017,43,25,,36,,104,,1825,,3362,,,-,1,,5,,38,,72,,,-,0,,1,,3,,1,,,
VERMONT,2017,43,1,,1,,4,,40,,60,,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW YORK,2017,43,9,,5,,14,,232,,297,,,-,0,,3,,4,,41,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ARKANSAS,2017,43,2,,2,,8,,101,,61,,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEVADA,2017,43,1,,0,,2,,31,,14,,,-,0,,0,,,-,6,,,-,0,,0,,,-,1,,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2017,43,,-,1,,8,,92,,63,,,-,0,,0,,,-,5,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
PACIFIC,2017,43,8,,16,,143,,785,,647,,,-,2,,9,,102,,272,,,-,0,,0,,,-,1,,,
W.N. CENTRAL,2017,43,13,,21,,68,,1048,,2031,,,-,0,,2,,7,,58,,,-,0,,0,,,-,,-,,
PUERTO RICO,2017,43,,-,0,,0,,,-,1,,,-,0,,3,,9,,193,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2017,43,3,,9,,29,,509,,361,,,-,1,,6,,78,,181,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
RHODE ISLAND,2017,43,1,,0,,3,,26,,14,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MICHIGAN,2017,43,,-,6,,19,,317,,395,,,-,0,,1,,7,,16,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
TENNESSEE,2017,43,3,,2,,12,,119,,149,,,-,0,,2,,3,,7,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
E.S. CENTRAL,2017,43,7,,8,,29,,371,,597,,,-,0,,2,,5,,13,,,-,0,,0,,,-,,-,,
KANSAS,2017,43,,-,1,,8,,82,,123,,,-,0,,1,,2,,4,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
GEORGIA,2017,43,2,,6,,20,,306,,311,,,-,0,,1,,4,,19,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
INDIANA,2017,43,,-,3,,10,,133,,191,,,-,0,,1,,2,,7,,,-,0,,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
MARYLAND,2017,43,,-,2,,10,,81,,103,,,-,0,,2,,5,,12,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
LOUISIANA,2017,43,,-,0,,6,,27,,109,,,-,0,,1,,1,,6,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
PENNSYLVANIA,2017,43,4,,6,,16,,303,,420,,,-,0,,1,,3,,20,,,-,0,,1,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
SOUTH DAKOTA,2017,43,,-,2,,12,,137,,148,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
GUAM,2017,43,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MOUNTAIN,2017,43,11,,12,,33,,611,,1089,,,-,0,,3,,10,,52,,,-,0,,1,,1,,1,,,
MINNESOTA,2017,43,,-,0,,8,,,-,425,,,-,0,,2,,,-,24,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2017,43,,-,0,,1,,3,,10,,,-,0,,2,,7,,54,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
W.S. CENTRAL,2017,43,29,,18,,92,,1108,,882,,4,,0,,2,,22,,48,,,-,0,,1,,2,,2,,,
TEXAS,2017,43,22,,14,,65,,847,,568,,4,,0,,2,,20,,35,,,-,0,,1,,1,,2,,"TEXAS
(31.827233, -99.423022)",
OKLAHOMA,2017,43,5,,2,,60,,133,,144,,,-,0,,1,,1,,4,,,-,0,,1,,1,,,-,"OKLAHOMA
(35.468494, -97.521264)",
WEST VIRGINIA,2017,43,,-,0,,2,,8,,43,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
KENTUCKY,2017,43,2,,1,,6,,63,,128,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
AMER. SAMOA,2017,43,,N,0,,0,,,N,,N,,-,2,,25,,159,,,-,,-,0,,0,,,-,,-,,
NEW JERSEY,2017,43,,-,1,,5,,59,,178,,,-,0,,1,,8,,48,,,-,0,,0,,,-,4,,"NEW JERSEY
(40.104655, -74.386686)",
MASSACHUSETTS,2017,43,,-,3,,13,,130,,177,,,-,0,,1,,1,,8,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH CAROLINA,2017,43,,-,2,,7,,79,,268,,,-,0,,1,,,-,12,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
S. ATLANTIC,2017,43,9,,25,,56,,1162,,1575,,,-,1,,4,,35,,163,,,-,0,,0,,,-,1,,,
WYOMING,2017,43,,-,0,,3,,11,,16,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ARIZONA,2017,43,1,,2,,15,,90,,500,,,-,0,,1,,2,,13,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
COLORADO,2017,43,6,,3,,13,,158,,180,,,-,0,,1,,3,,18,,,-,0,,1,,1,,,-,"COLORADO
(38.841772, -106.132562)",
UNITED STATES,2017,43,121,,163,,392,,8001,,11639,,4,,6,,16,,252,,908,,,-,0,,1,,7,,10,,,
C.N.M.I.,2017,43,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MID. ATLANTIC,2017,43,15,,17,,37,,745,,1051,,,-,1,,3,,31,,198,,,-,0,,1,,1,,4,,,
