Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2015","Cryptosporidiosis, Cum 2015, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Dengue§, Current week","Dengue§, Current week, flag","Dengue§, Previous 52 weeks Med","Dengue§, Previous 52 weeks Med, flag","Dengue§, Previous 52 weeks Max","Dengue§, Previous 52 weeks Max, flag","Dengue§, Cum 2015","Dengue§, Cum 2015, flag","Dengue§, Cum 2014","Dengue§, Cum 2014, flag","Dengue Severe, Current week","Dengue Severe, Current week, flag","Dengue Severe, Previous 52 weeks Med","Dengue Severe, Previous 52 weeks Med, flag","Dengue Severe, Previous 52 weeks Max","Dengue Severe, Previous 52 weeks Max, flag","Dengue Severe, Cum 2015","Dengue Severe, Cum 2015, flag","Dengue Severe, Cum 2014","Dengue Severe, Cum 2014, flag",Location 1,Location 2
MOUNTAIN,2015,5,1,,8,,21,,21,,23,,,-,0,,11,,,-,4,,,-,0,,0,,,-,,-,,
PACIFIC,2015,5,4,,9,,24,,23,,12,,,-,1,,7,,1,,11,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2015,5,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
C.N.M.I.,2015,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
DELAWARE,2015,29,,-,0,,1,,3,,2,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
MISSISSIPPI,2015,29,,-,1,,6,,15,,28,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513, -89.538027)",
KENTUCKY,2015,29,1,,1,,6,,46,,31,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973, -84.774968)",
PACIFIC,2015,29,1,,10,,20,,242,,283,,,-,0,,8,,,-,57,,,-,0,,0,,,-,,-,,
NEW MEXICO,2015,29,,-,1,,9,,15,,38,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520881, -106.240578)",
DIST. OF COL.,2015,29,,-,0,,1,,1,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
LOUISIANA,2015,29,,-,2,,17,,64,,103,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663, -92.445678)",
FLORIDA,2015,29,18,,15,,122,,338,,320,,,-,0,,5,,,-,43,,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
OHIO,2015,29,11,,5,,15,,154,,156,,,-,0,,2,,3,,7,,,-,0,,0,,,-,,-,"OHIO
(40.060212, -82.404257)",
C.N.M.I.,2015,29,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
ARKANSAS,2015,29,2,,1,,12,,28,,12,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865, -92.27449)",
MAINE,2015,29,1,,0,,5,,16,,26,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"MAINE
(45.254229, -68.985026)",
MISSOURI,2015,29,,-,1,,7,,18,,94,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSOURI
(38.635791, -92.566299)",
S. ATLANTIC,2015,29,35,,27,,152,,698,,659,,,-,0,,5,,,-,67,,,-,0,,0,,,-,,-,,
TEXAS,2015,29,9,,8,,22,,171,,162,,,-,0,,3,,4,,15,,,-,0,,0,,,-,,-,"TEXAS
(31.82724, -99.426768)",
IDAHO,2015,29,2,,1,,14,,39,,34,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.682632, -114.363727)",
WEST VIRGINIA,2015,29,1,,0,,3,,9,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511, -80.712638)",
WYOMING,2015,29,,-,0,,4,,,-,13,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.235541, -108.109827)",
MASSACHUSETTS,2015,29,,-,3,,9,,66,,60,,,-,0,,2,,2,,12,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
UNITED STATES,2015,29,92,,114,,363,,2926,,3287,,,-,3,,38,,29,,277,,,-,0,,0,,,-,,-,,
WISCONSIN,2015,29,4,,8,,30,,205,,209,,,-,0,,1,,,-,5,,,-,0,,0,,,-,,-,"WISCONSIN
(44.393191, -89.816366)",
WASHINGTON,2015,29,,-,0,,15,,26,,31,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
ARIZONA,2015,29,1,,1,,3,,26,,28,,,-,0,,22,,,-,5,,,-,0,,0,,,-,,-,"ARIZONA
(34.865974, -111.763807)",
IOWA,2015,29,,-,4,,12,,112,,155,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"IOWA
(42.469401, -93.816487)",
MICHIGAN,2015,29,1,,4,,13,,95,,109,,,-,0,,1,,2,,1,,,-,0,,0,,,-,,-,"MICHIGAN
(44.661322, -84.714386)",
MOUNTAIN,2015,29,4,,8,,23,,179,,212,,,-,0,,22,,,-,15,,,-,0,,0,,,-,,-,,
TENNESSEE,2015,29,1,,2,,12,,77,,41,,,-,0,,3,,8,,2,,,-,0,,0,,,-,,-,"TENNESSEE
(35.680941, -85.774487)",
COLORADO,2015,29,,-,0,,6,,3,,39,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"COLORADO
(38.843843, -106.133609)",
AMER. SAMOA,2015,29,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
KANSAS,2015,29,,-,1,,6,,49,,37,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"KANSAS
(38.347743, -98.200778)",
MID. ATLANTIC,2015,29,13,,11,,35,,253,,325,,,-,0,,9,,,-,72,,,-,0,,0,,,-,,-,,
INDIANA,2015,29,,-,3,,11,,77,,82,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"INDIANA
(39.766913, -86.149956)",
NEVADA,2015,29,,-,0,,2,,4,,8,,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,"NEVADA
(39.493242, -117.071839)",
W.N. CENTRAL,2015,29,5,,13,,57,,303,,548,,,-,0,,1,,1,,5,,,-,0,,0,,,-,,-,,
HAWAII,2015,29,,-,0,,1,,3,,1,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"HAWAII
(21.304852, -157.857748)",
E.N. CENTRAL,2015,29,16,,22,,74,,589,,649,,,-,0,,4,,12,,17,,,-,0,,0,,,-,,-,,
MARYLAND,2015,29,1,,1,,5,,27,,32,,,-,0,,1,,,-,5,,,-,0,,0,,,-,,-,"MARYLAND
(39.290583, -76.60926)",
GEORGIA,2015,29,3,,4,,20,,126,,106,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
OKLAHOMA,2015,29,2,,1,,10,,28,,35,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031, -97.521068)",
PENNSYLVANIA,2015,29,5,,5,,17,,126,,163,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
ALABAMA,2015,29,1,,3,,9,,98,,57,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"ALABAMA
(32.840572, -86.631857)",
ILLINOIS,2015,29,,-,2,,7,,58,,93,,,-,0,,2,,7,,3,,,-,0,,0,,,-,,-,"ILLINOIS
(40.485012, -88.997709)",
NORTH CAROLINA,2015,29,6,,0,,62,,109,,84,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622, -79.15925)",
E.S. CENTRAL,2015,29,3,,9,,22,,236,,157,,,-,0,,3,,8,,4,,,-,0,,0,,,-,,-,,
NEW YORK,2015,29,4,,3,,13,,77,,89,,,-,0,,2,,,-,17,,,-,0,,0,,,-,,-,"NEW YORK
(42.827004, -75.543966)",
CONNECTICUT,2015,29,,-,1,,3,,19,,22,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.562661, -72.64984)",
NORTH DAKOTA,2015,29,,-,1,,16,,8,,22,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
SOUTH CAROLINA,2015,29,,-,1,,3,,21,,42,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.998822, -81.045366)",
OREGON,2015,29,1,,2,,6,,73,,63,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745, -120.155029)",
MONTANA,2015,29,1,,1,,5,,18,,27,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"MONTANA
(47.066528, -109.424416)",
GUAM,2015,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.480999, 144.731498)",
NEW HAMPSHIRE,2015,29,,-,0,,3,,15,,16,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.655953, -71.500357)",
VIRGIN ISL.,2015,5,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,VIRGIN ISL.,
UNITED STATES,2015,6,43,,113,,337,,450,,499,,1,,7,,24,,11,,60,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2015,6,1,,5,,17,,6,,23,,,-,0,,3,,1,,4,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2015,6,6,,11,,34,,46,,58,,,-,2,,9,,1,,12,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,6,3,,21,,76,,74,,104,,,-,0,,4,,1,,5,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2015,6,1,,14,,39,,41,,66,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2015,6,12,,30,,150,,148,,135,,1,,2,,6,,3,,19,,,-,0,,0,,,-,,-,,
DIST. OF COL.,2015,6,,-,0,,1,,1,,1,,1,,0,,1,,1,,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2015,6,5,,7,,21,,42,,36,,,-,0,,3,,4,,1,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,6,4,,12,,33,,34,,30,,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,,
MOUNTAIN,2015,6,,-,8,,21,,25,,34,,,-,0,,11,,,-,4,,,-,0,,0,,,-,,-,,
PACIFIC,2015,6,11,,9,,24,,34,,13,,,-,1,,7,,1,,13,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2015,6,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
C.N.M.I.,2015,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2015,6,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,VIRGIN ISL.,
NEW YORK CITY,2015,29,4,,2,,6,,40,,45,,,-,0,,4,,,-,21,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.714268, -74.005969)",
NEBRASKA,2015,29,5,,2,,9,,60,,53,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.641044, -99.365719)",
SOUTH DAKOTA,2015,29,,-,2,,9,,56,,58,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313, -100.373529)",
CALIFORNIA,2015,29,,-,5,,15,,139,,186,,,-,0,,8,,,-,48,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.638642, -120.999996)",
W.S. CENTRAL,2015,29,13,,12,,33,,291,,312,,,-,0,,4,,4,,18,,,-,0,,0,,,-,,-,,
NEW JERSEY,2015,29,,-,1,,6,,10,,28,,,-,0,,6,,,-,30,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130571, -74.273688)",
PUERTO RICO,2015,29,,-,0,,0,,,-,,-,,-,0,,12,,5,,406,,,-,0,,0,,,-,2,,"PUERTO RICO
(18.248289, -66.49989)",
OKLAHOMA,2015,38,1,,1,,10,,54,,57,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2015,30,,-,0,,6,,3,,41,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"COLORADO
(38.843843, -106.133609)",
GEORGIA,2015,30,6,,4,,20,,136,,114,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
DIST. OF COL.,2015,30,,-,0,,1,,1,,3,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,DIST. OF COL.,
TEXAS,2015,30,5,,8,,22,,178,,168,,,-,0,,3,,4,,15,,,-,0,,0,,,-,,-,"TEXAS
(31.82724, -99.426768)",
NORTH CAROLINA,2015,30,,-,0,,62,,109,,87,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622, -79.15925)",
NEW YORK,2015,30,7,,3,,13,,84,,99,,,-,0,,2,,,-,18,,,-,0,,0,,,-,,-,"NEW YORK
(42.827004, -75.543966)",
MOUNTAIN,2015,30,7,,7,,23,,188,,224,,,-,0,,22,,,-,15,,,-,0,,0,,,-,,-,,
UNITED STATES,2015,30,108,,114,,363,,3085,,3543,,,-,2,,38,,29,,294,,,-,0,,0,,,-,,-,,
DELAWARE,2015,30,,-,0,,1,,3,,2,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
NEW HAMPSHIRE,2015,30,,-,0,,3,,16,,17,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.655953, -71.500357)",
MID. ATLANTIC,2015,30,11,,11,,35,,274,,352,,,-,0,,9,,,-,77,,,-,0,,0,,,-,,-,,
VIRGIN ISL.,2015,30,,-,0,,0,,,-,,-,,-,0,,1,,,-,12,,,-,0,,0,,,-,,-,VIRGIN ISL.,
LOUISIANA,2015,30,,-,2,,17,,65,,114,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663, -92.445678)",
E.N. CENTRAL,2015,30,22,,22,,74,,617,,697,,,-,0,,4,,12,,18,,,-,0,,0,,,-,,-,,
C.N.M.I.,2015,30,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VERMONT,2015,30,,-,0,,7,,13,,9,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"VERMONT
(43.625384, -72.517637)",
OHIO,2015,30,20,,5,,15,,174,,166,,,-,0,,2,,3,,7,,,-,0,,0,,,-,,-,"OHIO
(40.060212, -82.404257)",
MICHIGAN,2015,30,1,,4,,13,,101,,114,,,-,0,,1,,2,,1,,,-,0,,0,,,-,,-,"MICHIGAN
(44.661322, -84.714386)",
INDIANA,2015,30,,-,3,,11,,77,,89,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"INDIANA
(39.766913, -86.149956)",
ALABAMA,2015,30,1,,3,,9,,99,,61,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"ALABAMA
(32.840572, -86.631857)",
NEW YORK CITY,2015,30,,-,2,,6,,40,,45,,,-,0,,4,,,-,22,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.714268, -74.005969)",
MISSISSIPPI,2015,30,,-,1,,6,,15,,29,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513, -89.538027)",
NEVADA,2015,30,,-,0,,2,,4,,8,,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,"NEVADA
(39.493242, -117.071839)",
MONTANA,2015,30,1,,1,,5,,19,,30,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"MONTANA
(47.066528, -109.424416)",
AMER. SAMOA,2015,30,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
WYOMING,2015,30,,-,0,,4,,,-,13,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.235541, -108.109827)",
NORTH DAKOTA,2015,30,,-,1,,16,,9,,26,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
MISSOURI,2015,30,,-,1,,6,,18,,101,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSOURI
(38.635791, -92.566299)",
MARYLAND,2015,30,1,,1,,5,,28,,33,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,"MARYLAND
(39.290583, -76.60926)",
W.N. CENTRAL,2015,30,8,,13,,57,,339,,597,,,-,0,,1,,1,,5,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2015,30,3,,5,,17,,143,,148,,,-,0,,2,,4,,25,,,-,0,,0,,,-,,-,,
MASSACHUSETTS,2015,30,2,,3,,9,,72,,62,,,-,0,,2,,2,,14,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
ILLINOIS,2015,30,1,,2,,7,,60,,98,,,-,0,,2,,7,,4,,,-,0,,0,,,-,,-,"ILLINOIS
(40.485012, -88.997709)",
OREGON,2015,30,1,,2,,6,,76,,66,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745, -120.155029)",
IOWA,2015,30,,-,4,,10,,122,,167,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"IOWA
(42.469401, -93.816487)",
SOUTH DAKOTA,2015,30,,-,3,,9,,72,,66,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313, -100.373529)",
ARKANSAS,2015,30,,-,1,,12,,28,,13,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865, -92.27449)",
WASHINGTON,2015,30,7,,0,,15,,33,,32,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
ALASKA,2015,30,1,,0,,1,,2,,2,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"ALASKA
(64.845078, -147.72206)",
WISCONSIN,2015,30,,-,8,,30,,205,,230,,,-,0,,1,,,-,5,,,-,0,,0,,,-,,-,"WISCONSIN
(44.393191, -89.816366)",
OKLAHOMA,2015,30,2,,1,,10,,30,,38,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031, -97.521068)",
TENNESSEE,2015,30,10,,2,,12,,88,,45,,,-,0,,3,,8,,2,,,-,0,,0,,,-,,-,"TENNESSEE
(35.680941, -85.774487)",
W.S. CENTRAL,2015,30,7,,12,,33,,301,,333,,,-,0,,4,,4,,18,,,-,0,,0,,,-,,-,,
ARIZONA,2015,30,4,,1,,3,,30,,28,,,-,0,,22,,,-,5,,,-,0,,0,,,-,,-,"ARIZONA
(34.865974, -111.763807)",
WEST VIRGINIA,2015,30,,-,0,,3,,9,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511, -80.712638)",
W.S. CENTRAL,2015,9,4,,12,,33,,47,,52,,,-,0,,4,,1,,3,,,-,0,,0,,,-,,-,,
SOUTH CAROLINA,2015,30,,-,1,,3,,21,,43,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.998822, -81.045366)",
E.S. CENTRAL,2015,30,12,,9,,22,,250,,171,,,-,0,,3,,8,,4,,,-,0,,0,,,-,,-,,
UNITED STATES,2015,7,31,,113,,337,,512,,592,,,-,7,,25,,16,,66,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2015,7,1,,5,,17,,9,,27,,,-,0,,3,,1,,5,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2015,7,3,,11,,35,,51,,66,,,-,2,,10,,3,,13,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,7,9,,21,,76,,90,,122,,,-,0,,4,,2,,5,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2015,7,2,,14,,39,,48,,74,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2015,7,9,,30,,150,,157,,161,,,-,2,,6,,4,,22,,,-,0,,0,,,-,,-,,
DIST. OF COL.,2015,7,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2015,7,2,,8,,22,,51,,39,,,-,0,,3,,4,,1,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,7,4,,12,,33,,40,,37,,,-,0,,4,,,-,3,,,-,0,,0,,,-,,-,,
MOUNTAIN,2015,7,,-,8,,22,,29,,45,,,-,0,,11,,,-,4,,,-,0,,0,,,-,,-,,
PACIFIC,2015,7,1,,9,,24,,37,,21,,,-,1,,7,,2,,13,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2015,7,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
C.N.M.I.,2015,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2015,7,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,VIRGIN ISL.,
PUERTO RICO,2015,30,,-,0,,0,,,-,,-,,-,0,,12,,5,,417,,,-,0,,0,,,-,2,,"PUERTO RICO
(18.248289, -66.49989)",
NEBRASKA,2015,30,7,,2,,9,,67,,54,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.641044, -99.365719)",
CONNECTICUT,2015,30,,-,1,,3,,19,,24,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.562661, -72.64984)",
KANSAS,2015,30,1,,1,,6,,51,,41,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"KANSAS
(38.347743, -98.200778)",
IDAHO,2015,30,2,,1,,14,,42,,37,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.682632, -114.363727)",
GUAM,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.480999, 144.731498)",
RHODE ISLAND,2015,30,1,,0,,4,,7,,10,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
MAINE,2015,30,,-,0,,5,,16,,26,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"MAINE
(45.254229, -68.985026)",
PENNSYLVANIA,2015,30,4,,5,,17,,137,,179,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
NEW MEXICO,2015,30,,-,1,,9,,16,,40,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520881, -106.240578)",
HAWAII,2015,30,,-,0,,1,,4,,1,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"HAWAII
(21.304852, -157.857748)",
S. ATLANTIC,2015,30,28,,27,,152,,731,,723,,,-,0,,5,,,-,70,,,-,0,,0,,,-,,-,,
VIRGINIA,2015,30,,-,2,,9,,65,,70,,,-,0,,3,,,-,7,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542681, -78.457889)",
UTAH,2015,30,,-,2,,6,,74,,27,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.360701, -111.587128)",
MINNESOTA,2015,30,,-,0,,18,,,-,142,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
PACIFIC,2015,30,10,,9,,20,,242,,298,,,-,0,,8,,,-,62,,,-,0,,0,,,-,,-,,
KENTUCKY,2015,30,1,,1,,6,,48,,36,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973, -84.774968)",
NEW JERSEY,2015,30,,-,1,,6,,13,,29,,,-,0,,6,,,-,33,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130571, -74.273688)",
CALIFORNIA,2015,30,1,,4,,15,,127,,197,,,-,0,,8,,,-,52,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.638642, -120.999996)",
FLORIDA,2015,30,21,,15,,122,,359,,368,,,-,0,,5,,,-,44,,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
ARIZONA,2015,38,,-,1,,5,,49,,36,,,-,0,,22,,2,,7,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEW MEXICO,2015,38,,-,1,,4,,32,,70,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
CALIFORNIA,2015,38,4,,5,,15,,229,,278,,,-,1,,8,,27,,78,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2015,38,45,,15,,122,,665,,1166,,,-,0,,4,,8,,64,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
WISCONSIN,2015,38,12,,8,,27,,394,,426,,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
WEST VIRGINIA,2015,38,,-,0,,3,,9,,8,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH DAKOTA,2015,40,,-,3,,10,,128,,118,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
GEORGIA,2015,40,5,,5,,15,,258,,186,,,-,0,,2,,2,,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WYOMING,2015,40,,-,0,,4,,23,,24,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
FLORIDA,2015,40,21,,15,,84,,714,,1402,,,-,0,,4,,,-,69,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NORTH DAKOTA,2015,40,,-,0,,9,,14,,112,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
W.S. CENTRAL,2015,40,25,,12,,43,,627,,587,,,-,0,,4,,17,,30,,,-,0,,0,,,-,,-,,
MASSACHUSETTS,2015,40,,-,3,,10,,132,,114,,,-,0,,1,,2,,16,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
LOUISIANA,2015,31,3,,2,,17,,69,,127,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"LOUISIANA
(31.31111, -92.445)",
OREGON,2015,31,2,,2,,6,,80,,68,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
NORTH DAKOTA,2015,31,,-,1,,16,,9,,32,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
CONNECTICUT,2015,31,,-,1,,3,,23,,25,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
